vSweep,vd,vg,id,vth0_nom,u0_nom,rdsw_nom,nfactor_nom,vsat_nom,eta0_nom,delta_nom
1.00000000e-02,1.00000000e-02,1.48000000e+00,4.46215714e-05,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
2.00000000e-02,2.00000000e-02,1.48000000e+00,8.87839888e-05,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
3.00000000e-02,3.00000000e-02,1.48000000e+00,1.32485894e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
4.00000000e-02,4.00000000e-02,1.48000000e+00,1.75725921e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
5.00000000e-02,5.00000000e-02,1.48000000e+00,2.18502696e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
6.00000000e-02,6.00000000e-02,1.48000000e+00,2.60814839e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
7.00000000e-02,7.00000000e-02,1.48000000e+00,3.02660963e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
8.00000000e-02,8.00000000e-02,1.48000000e+00,3.44039673e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
9.00000000e-02,9.00000000e-02,1.48000000e+00,3.84949567e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
1.00000000e-01,1.00000000e-01,1.48000000e+00,4.25389241e-04,1.16610536e+00,1.64584378e+00,9.19342696e-01,1.87818270e+00,3.22058897e+01,1.28021566e+00,5.00741421e+00
