vSweep,vd,vg,id,vth0_nom,u0_nom,rdsw_nom,nfactor_nom,vsat_nom,eta0_nom,delta_nom
1.00000000e-02,1.00000000e-02,1.48000000e+00,4.64157105e-05,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.00000000e-02,2.00000000e-02,1.48000000e+00,9.23548653e-05,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
3.00000000e-02,3.00000000e-02,1.48000000e+00,1.37815860e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
4.00000000e-02,4.00000000e-02,1.48000000e+00,1.82797082e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
5.00000000e-02,5.00000000e-02,1.48000000e+00,2.27296904e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
6.00000000e-02,6.00000000e-02,1.48000000e+00,2.71313694e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
7.00000000e-02,7.00000000e-02,1.48000000e+00,3.14845805e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
8.00000000e-02,8.00000000e-02,1.48000000e+00,3.57891585e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
9.00000000e-02,9.00000000e-02,1.48000000e+00,4.00449368e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.00000000e-01,1.00000000e-01,1.48000000e+00,4.42517482e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.10000000e-01,1.10000000e-01,1.48000000e+00,4.84094245e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.20000000e-01,1.20000000e-01,1.48000000e+00,5.25177966e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.30000000e-01,1.30000000e-01,1.48000000e+00,5.65766950e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.40000000e-01,1.40000000e-01,1.48000000e+00,6.05859491e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.50000000e-01,1.50000000e-01,1.48000000e+00,6.45453880e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.60000000e-01,1.60000000e-01,1.48000000e+00,6.84548403e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.70000000e-01,1.70000000e-01,1.48000000e+00,7.23141343e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.80000000e-01,1.80000000e-01,1.48000000e+00,7.61230983e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
1.90000000e-01,1.90000000e-01,1.48000000e+00,7.98815604e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.00000000e-01,2.00000000e-01,1.48000000e+00,8.35893493e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.10000000e-01,2.10000000e-01,1.48000000e+00,8.72462940e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.20000000e-01,2.20000000e-01,1.48000000e+00,9.08522246e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.30000000e-01,2.30000000e-01,1.48000000e+00,9.44069722e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.40000000e-01,2.40000000e-01,1.48000000e+00,9.79103696e-04,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.50000000e-01,2.50000000e-01,1.48000000e+00,1.01362252e-03,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.60000000e-01,2.60000000e-01,1.48000000e+00,1.04762456e-03,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.70000000e-01,2.70000000e-01,1.48000000e+00,1.08110823e-03,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
2.80000000e-01,2.80000000e-01,1.48000000e+00,1.11407198e-03,1.16414904e+00,1.70669399e+00,9.31244472e-01,1.75071097e+00,3.34211914e+01,1.34153817e+00,5.00057340e+00
