 0.00000000e+00  9.25000000e-01  0.00000000e+00 -6.86762717e-33  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.25348000e-01 
 3.70000000e-01  9.25000000e-01  3.70000000e-01  1.04830767e-04  3.70000000e-01  3.70000000e-01  3.70000000e-01  5.25348000e-01 
 3.80000000e-01  9.25000000e-01  3.80000000e-01  1.05675588e-04  3.80000000e-01  3.80000000e-01  3.80000000e-01  5.25348000e-01 
 3.90000000e-01  9.25000000e-01  3.90000000e-01  1.06475720e-04  3.90000000e-01  3.90000000e-01  3.90000000e-01  5.25348000e-01 
 4.00000000e-01  9.25000000e-01  4.00000000e-01  1.07233989e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.25348000e-01 
 4.10000000e-01  9.25000000e-01  4.10000000e-01  1.07953042e-04  4.10000000e-01  4.10000000e-01  4.10000000e-01  5.25348000e-01 
 4.20000000e-01  9.25000000e-01  4.20000000e-01  1.08635358e-04  4.20000000e-01  4.20000000e-01  4.20000000e-01  5.25348000e-01 
 4.30000000e-01  9.25000000e-01  4.30000000e-01  1.09283253e-04  4.30000000e-01  4.30000000e-01  4.30000000e-01  5.25348000e-01 
 4.40000000e-01  9.25000000e-01  4.40000000e-01  1.09898891e-04  4.40000000e-01  4.40000000e-01  4.40000000e-01  5.25348000e-01 
 4.50000000e-01  9.25000000e-01  4.50000000e-01  1.10484296e-04  4.50000000e-01  4.50000000e-01  4.50000000e-01  5.25348000e-01 
 4.60000000e-01  9.25000000e-01  4.60000000e-01  1.11041353e-04  4.60000000e-01  4.60000000e-01  4.60000000e-01  5.25348000e-01 
 4.70000000e-01  9.25000000e-01  4.70000000e-01  1.11571823e-04  4.70000000e-01  4.70000000e-01  4.70000000e-01  5.25348000e-01 
 4.80000000e-01  9.25000000e-01  4.80000000e-01  1.12077348e-04  4.80000000e-01  4.80000000e-01  4.80000000e-01  5.25348000e-01 
 4.90000000e-01  9.25000000e-01  4.90000000e-01  1.12559459e-04  4.90000000e-01  4.90000000e-01  4.90000000e-01  5.25348000e-01 
 5.00000000e-01  9.25000000e-01  5.00000000e-01  1.13019583e-04  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.25348000e-01 
 5.10000000e-01  9.25000000e-01  5.10000000e-01  1.13459052e-04  5.10000000e-01  5.10000000e-01  5.10000000e-01  5.25348000e-01 
 5.20000000e-01  9.25000000e-01  5.20000000e-01  1.13879105e-04  5.20000000e-01  5.20000000e-01  5.20000000e-01  5.25348000e-01 
 5.30000000e-01  9.25000000e-01  5.30000000e-01  1.14280899e-04  5.30000000e-01  5.30000000e-01  5.30000000e-01  5.25348000e-01 
 5.40000000e-01  9.25000000e-01  5.40000000e-01  1.14665514e-04  5.40000000e-01  5.40000000e-01  5.40000000e-01  5.25348000e-01 
