 0.00000000e+00  1.85000000e+00  0.00000000e+00 -1.57645795e-32  0.00000000e+00  0.00000000e+00 
 1.00000000e-02  1.85000000e+00  1.00000000e-02  1.72246030e-04  1.00000000e-02  1.00000000e-02 
 2.00000000e-02  1.85000000e+00  2.00000000e-02  3.40852659e-04  2.00000000e-02  2.00000000e-02 
 3.00000000e-02  1.85000000e+00  3.00000000e-02  5.05286695e-04  3.00000000e-02  3.00000000e-02 
 4.00000000e-02  1.85000000e+00  4.00000000e-02  6.65251621e-04  4.00000000e-02  4.00000000e-02 
 5.00000000e-02  1.85000000e+00  5.00000000e-02  8.20569844e-04  5.00000000e-02  5.00000000e-02 
 6.00000000e-02  1.85000000e+00  6.00000000e-02  9.71132631e-04  6.00000000e-02  6.00000000e-02 
 7.00000000e-02  1.85000000e+00  7.00000000e-02  1.11687569e-03  7.00000000e-02  7.00000000e-02 
 8.00000000e-02  1.85000000e+00  8.00000000e-02  1.25776610e-03  8.00000000e-02  8.00000000e-02 
 9.00000000e-02  1.85000000e+00  9.00000000e-02  1.39379485e-03  9.00000000e-02  9.00000000e-02 
 1.00000000e-01  1.85000000e+00  1.00000000e-01  1.52497240e-03  1.00000000e-01  1.00000000e-01 
 1.10000000e-01  1.85000000e+00  1.10000000e-01  1.65132591e-03  1.10000000e-01  1.10000000e-01 
 1.20000000e-01  1.85000000e+00  1.20000000e-01  1.77289737e-03  1.20000000e-01  1.20000000e-01 
 1.30000000e-01  1.85000000e+00  1.30000000e-01  1.88974239e-03  1.30000000e-01  1.30000000e-01 
 1.40000000e-01  1.85000000e+00  1.40000000e-01  2.00192917e-03  1.40000000e-01  1.40000000e-01 
 1.50000000e-01  1.85000000e+00  1.50000000e-01  2.10953765e-03  1.50000000e-01  1.50000000e-01 
 1.60000000e-01  1.85000000e+00  1.60000000e-01  2.21265871e-03  1.60000000e-01  1.60000000e-01 
 1.70000000e-01  1.85000000e+00  1.70000000e-01  2.31139335e-03  1.70000000e-01  1.70000000e-01 
 1.80000000e-01  1.85000000e+00  1.80000000e-01  2.40585169e-03  1.80000000e-01  1.80000000e-01 
 1.90000000e-01  1.85000000e+00  1.90000000e-01  2.49615208e-03  1.90000000e-01  1.90000000e-01 
 2.00000000e-01  1.85000000e+00  2.00000000e-01  2.58241999e-03  2.00000000e-01  2.00000000e-01 
 2.10000000e-01  1.85000000e+00  2.10000000e-01  2.66478690e-03  2.10000000e-01  2.10000000e-01 
 2.20000000e-01  1.85000000e+00  2.20000000e-01  2.74338912e-03  2.20000000e-01  2.20000000e-01 
 2.30000000e-01  1.85000000e+00  2.30000000e-01  2.81836665e-03  2.30000000e-01  2.30000000e-01 
 2.40000000e-01  1.85000000e+00  2.40000000e-01  2.88986197e-03  2.40000000e-01  2.40000000e-01 
 2.50000000e-01  1.85000000e+00  2.50000000e-01  2.95801893e-03  2.50000000e-01  2.50000000e-01 
 2.60000000e-01  1.85000000e+00  2.60000000e-01  3.02298167e-03  2.60000000e-01  2.60000000e-01 
 2.70000000e-01  1.85000000e+00  2.70000000e-01  3.08489362e-03  2.70000000e-01  2.70000000e-01 
 2.80000000e-01  1.85000000e+00  2.80000000e-01  3.14389659e-03  2.80000000e-01  2.80000000e-01 
 2.90000000e-01  1.85000000e+00  2.90000000e-01  3.20012998e-03  2.90000000e-01  2.90000000e-01 
 3.00000000e-01  1.85000000e+00  3.00000000e-01  3.25373008e-03  3.00000000e-01  3.00000000e-01 
 3.10000000e-01  1.85000000e+00  3.10000000e-01  3.30482950e-03  3.10000000e-01  3.10000000e-01 
 3.20000000e-01  1.85000000e+00  3.20000000e-01  3.35355667e-03  3.20000000e-01  3.20000000e-01 
 3.30000000e-01  1.85000000e+00  3.30000000e-01  3.40003550e-03  3.30000000e-01  3.30000000e-01 
