 0.00000000e+00  1.85000000e+00  0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.62261000e-01 
 3.70000000e-01  1.85000000e+00  3.70000000e-01  3.95945316e-04  3.70000000e-01  3.70000000e-01  3.70000000e-01  5.62261000e-01 
 3.80000000e-01  1.85000000e+00  3.80000000e-01  4.00947150e-04  3.80000000e-01  3.80000000e-01  3.80000000e-01  5.62261000e-01 
 3.90000000e-01  1.85000000e+00  3.90000000e-01  4.05739100e-04  3.90000000e-01  3.90000000e-01  3.90000000e-01  5.62261000e-01 
 4.00000000e-01  1.85000000e+00  4.00000000e-01  4.10329779e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.62261000e-01 
 4.10000000e-01  1.85000000e+00  4.10000000e-01  4.14727668e-04  4.10000000e-01  4.10000000e-01  4.10000000e-01  5.62261000e-01 
 4.20000000e-01  1.85000000e+00  4.20000000e-01  4.18941087e-04  4.20000000e-01  4.20000000e-01  4.20000000e-01  5.62261000e-01 
 4.30000000e-01  1.85000000e+00  4.30000000e-01  4.22978167e-04  4.30000000e-01  4.30000000e-01  4.30000000e-01  5.62261000e-01 
 4.40000000e-01  1.85000000e+00  4.40000000e-01  4.26846824e-04  4.40000000e-01  4.40000000e-01  4.40000000e-01  5.62261000e-01 
 4.50000000e-01  1.85000000e+00  4.50000000e-01  4.30554748e-04  4.50000000e-01  4.50000000e-01  4.50000000e-01  5.62261000e-01 
 4.60000000e-01  1.85000000e+00  4.60000000e-01  4.34109379e-04  4.60000000e-01  4.60000000e-01  4.60000000e-01  5.62261000e-01 
 4.70000000e-01  1.85000000e+00  4.70000000e-01  4.37517905e-04  4.70000000e-01  4.70000000e-01  4.70000000e-01  5.62261000e-01 
 4.80000000e-01  1.85000000e+00  4.80000000e-01  4.40787244e-04  4.80000000e-01  4.80000000e-01  4.80000000e-01  5.62261000e-01 
 4.90000000e-01  1.85000000e+00  4.90000000e-01  4.43924048e-04  4.90000000e-01  4.90000000e-01  4.90000000e-01  5.62261000e-01 
 5.00000000e-01  1.85000000e+00  5.00000000e-01  4.46934696e-04  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.62261000e-01 
 5.10000000e-01  1.85000000e+00  5.10000000e-01  4.49825293e-04  5.10000000e-01  5.10000000e-01  5.10000000e-01  5.62261000e-01 
 5.20000000e-01  1.85000000e+00  5.20000000e-01  4.52601675e-04  5.20000000e-01  5.20000000e-01  5.20000000e-01  5.62261000e-01 
 5.30000000e-01  1.85000000e+00  5.30000000e-01  4.55269411e-04  5.30000000e-01  5.30000000e-01  5.30000000e-01  5.62261000e-01 
 5.40000000e-01  1.85000000e+00  5.40000000e-01  4.57833810e-04  5.40000000e-01  5.40000000e-01  5.40000000e-01  5.62261000e-01 
 5.50000000e-01  1.85000000e+00  5.50000000e-01  4.60299923e-04  5.50000000e-01  5.50000000e-01  5.50000000e-01  5.62261000e-01 
 5.60000000e-01  1.85000000e+00  5.60000000e-01  4.62672558e-04  5.60000000e-01  5.60000000e-01  5.60000000e-01  5.62261000e-01 
 5.70000000e-01  1.85000000e+00  5.70000000e-01  4.64956279e-04  5.70000000e-01  5.70000000e-01  5.70000000e-01  5.62261000e-01 
