vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource
-0.73,1e-08,1.1894159e-08,0.18941589999999997,0.0,-0.37,0.0
-0.74,1e-08,1.334029e-08,0.334029,0.0,-0.37,0.0
-0.75,1e-08,1.4954992e-08,0.4954992000000001,0.0,-0.37,0.0
-0.76,1e-08,1.6756942e-08,0.6756942,0.0,-0.37,0.0
-0.77,1e-08,1.8766786e-08,0.8766786,0.0,-0.37,0.0
-0.78,1e-08,2.1007345e-08,1.1007345000000002,0.0,-0.37,0.0
-0.79,1e-08,2.3503842e-08,1.3503842,0.0,-0.37,0.0
-0.8,1e-08,2.6284157e-08,1.6284157,0.0,-0.37,0.0
-0.81,1e-08,2.9379105e-08,1.9379105,0.0,-0.37,0.0
-0.82,1e-08,3.2822752e-08,2.2822752000000004,0.0,-0.37,0.0
-0.83,2e-08,3.6652769e-08,0.8326384499999999,0.0,-0.37,0.0
-0.84,2e-08,4.0910819e-08,1.04554095,0.0,-0.37,0.0
-0.85,2e-08,4.5642997e-08,1.2821498500000001,0.0,-0.37,0.0
-0.86,2e-08,5.0900319e-08,1.5450159499999998,0.0,-0.37,0.0
-0.87,2e-08,5.6739267e-08,1.8369633499999998,0.0,-0.37,0.0
-0.88,3e-08,6.3222395e-08,1.107413166666667,0.0,-0.37,0.0
-0.89,3e-08,7.0419009e-08,1.3473003000000001,0.0,-0.37,0.0
-0.9,3e-08,7.8405915e-08,1.6135305000000004,0.0,-0.37,0.0
-0.91,4e-08,8.7268254e-08,1.18170635,0.0,-0.37,0.0
-0.92,4e-08,9.7100419e-08,1.427510475,0.0,-0.37,0.0
-0.93,5e-08,1.0800707e-07,1.1601414,0.0,-0.37,0.0
-0.94,5e-08,1.2010426e-07,1.4020852,0.0,-0.37,0.0
-0.95,6e-08,1.335206e-07,1.2253433333333335,0.0,-0.37,0.0
-0.96,7e-08,1.4839863e-07,1.1199804285714285,0.0,-0.37,0.0
-0.97,7e-08,1.6489621e-07,1.3556601428571426,0.0,-0.37,0.0
-0.98,8e-08,1.8318804e-07,1.2898505,0.0,-0.37,0.0
-0.99,9e-08,2.0346728e-07,1.2607475555555554,0.0,-0.37,0.0
-1.0,1.1e-07,2.2594723e-07,1.0540657272727272,0.0,-0.37,0.0
-1.01,1.2e-07,2.5086314e-07,1.090526166666667,0.0,-0.37,0.0
-1.02,1.3e-07,2.7847399e-07,1.1421076153846155,0.0,-0.37,0.0
-1.03,1.5e-07,3.0906433e-07,1.060428866666667,0.0,-0.37,0.0
-1.04,1.7e-07,3.4294613e-07,1.0173301764705882,0.0,-0.37,0.0
-1.05,1.9e-07,3.8046056e-07,1.002424,0.0,-0.37,0.0
-1.06,2.2e-07,4.2197965e-07,0.9180893181818182,0.0,-0.37,0.0
-1.07,2.5e-07,4.6790778e-07,0.8716311200000001,0.0,-0.37,0.0
