 0.00000000e+00  0.00000000e+00  1.48000000e+00  9.50135364e-20  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.00000000e-02  1.00000000e-02  1.48000000e+00  4.76712471e-05  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 2.00000000e-02  2.00000000e-02  1.48000000e+00  9.48604671e-05  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 3.00000000e-02  3.00000000e-02  1.48000000e+00  1.41565863e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 4.00000000e-02  4.00000000e-02  1.48000000e+00  1.87785624e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 5.00000000e-02  5.00000000e-02  1.48000000e+00  2.33517928e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 6.00000000e-02  6.00000000e-02  1.48000000e+00  2.78760938e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 7.00000000e-02  7.00000000e-02  1.48000000e+00  3.23512805e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 8.00000000e-02  8.00000000e-02  1.48000000e+00  3.67771666e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 9.00000000e-02  9.00000000e-02  1.48000000e+00  4.11535649e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.00000000e-01  1.00000000e-01  1.48000000e+00  4.54802865e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.10000000e-01  1.10000000e-01  1.48000000e+00  4.97571419e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.20000000e-01  1.20000000e-01  1.48000000e+00  5.39839399e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.30000000e-01  1.30000000e-01  1.48000000e+00  5.81604889e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.40000000e-01  1.40000000e-01  1.48000000e+00  6.22865960e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.50000000e-01  1.50000000e-01  1.48000000e+00  6.63620675e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.60000000e-01  1.60000000e-01  1.48000000e+00  7.03867094e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.70000000e-01  1.70000000e-01  1.48000000e+00  7.43603268e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.80000000e-01  1.80000000e-01  1.48000000e+00  7.82827247e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 1.90000000e-01  1.90000000e-01  1.48000000e+00  8.21537083e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 2.00000000e-01  2.00000000e-01  1.48000000e+00  8.59730826e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 2.10000000e-01  2.10000000e-01  1.48000000e+00  8.97406535e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 2.20000000e-01  2.20000000e-01  1.48000000e+00  9.34562275e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
 2.30000000e-01  2.30000000e-01  1.48000000e+00  9.71196128e-04  1.18665763e+00  1.77035725e+00  9.40468050e-01  1.57712812e+00  3.30612068e+01  1.27635958e+00  5.19320383e+00 
