vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,4.20100000e+03,1.85000000e+00,-6.97740213e-44,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.00000000e-02,4.20100000e+03,1.85000000e+00,-3.09203386e-05,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.00000000e-02,4.20100000e+03,1.85000000e+00,-6.12772414e-05,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.00000000e-02,4.20100000e+03,1.85000000e+00,-9.10758289e-05,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
4.00000000e-02,4.20100000e+03,1.85000000e+00,-1.20320620e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
5.00000000e-02,4.20100000e+03,1.85000000e+00,-1.49015477e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
6.00000000e-02,4.20100000e+03,1.85000000e+00,-1.77163536e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
7.00000000e-02,4.20100000e+03,1.85000000e+00,-2.04767136e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
8.00000000e-02,4.20100000e+03,1.85000000e+00,-2.31827730e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
9.00000000e-02,4.20100000e+03,1.85000000e+00,-2.58345792e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.00000000e-01,4.20100000e+03,1.85000000e+00,-2.84320704e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.10000000e-01,4.20100000e+03,1.85000000e+00,-3.09750643e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.20000000e-01,4.20100000e+03,1.85000000e+00,-3.34632447e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.30000000e-01,4.20100000e+03,1.85000000e+00,-3.58961483e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.40000000e-01,4.20100000e+03,1.85000000e+00,-3.82731501e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.50000000e-01,4.20100000e+03,1.85000000e+00,-4.05934496e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.60000000e-01,4.20100000e+03,1.85000000e+00,-4.28560585e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.70000000e-01,4.20100000e+03,1.85000000e+00,-4.50597904e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.80000000e-01,4.20100000e+03,1.85000000e+00,-4.72032548e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
1.90000000e-01,4.20100000e+03,1.85000000e+00,-4.92848592e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.00000000e-01,4.20100000e+03,1.85000000e+00,-5.13028192e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.10000000e-01,4.20100000e+03,1.85000000e+00,-5.32551838e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.20000000e-01,4.20100000e+03,1.85000000e+00,-5.51398757e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.30000000e-01,4.20100000e+03,1.85000000e+00,-5.69547522e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.40000000e-01,4.20100000e+03,1.85000000e+00,-5.86976876e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.50000000e-01,4.20100000e+03,1.85000000e+00,-6.03666755e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.60000000e-01,4.20100000e+03,1.85000000e+00,-6.19599492e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.70000000e-01,4.20100000e+03,1.85000000e+00,-6.34761106e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.80000000e-01,4.20100000e+03,1.85000000e+00,-6.49142573e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
2.90000000e-01,4.20100000e+03,1.85000000e+00,-6.62740936e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.00000000e-01,4.20100000e+03,1.85000000e+00,-6.75560116e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.10000000e-01,4.20100000e+03,1.85000000e+00,-6.87611303e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.20000000e-01,4.20100000e+03,1.85000000e+00,-6.98912877e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.30000000e-01,4.20100000e+03,1.85000000e+00,-7.09489864e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.40000000e-01,4.20100000e+03,1.85000000e+00,-7.19372994e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.50000000e-01,4.20100000e+03,1.85000000e+00,-7.28597497e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.60000000e-01,4.20100000e+03,1.85000000e+00,-7.37201771e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.70000000e-01,4.20100000e+03,1.85000000e+00,-7.45226060e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.80000000e-01,4.20100000e+03,1.85000000e+00,-7.52711245e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
3.90000000e-01,4.20100000e+03,1.85000000e+00,-7.59697815e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
4.00000000e-01,4.20100000e+03,1.85000000e+00,-7.66225066e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
4.10000000e-01,4.20100000e+03,1.85000000e+00,-7.72330499e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
4.20000000e-01,4.20100000e+03,1.85000000e+00,-7.78049431e-04,3.19442715e-01,4.69017331e-02,9.65306111e+01,2.39796041e+00,8.60359943e+04,-1.79302839e-01
