vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,9.95400000e+03,0.00000000e+00,-1.85137736e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,9.95400000e+03,1.00000000e-02,-1.85137841e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,9.95400000e+03,2.00000000e-02,-1.85138088e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,9.95400000e+03,3.00000000e-02,-1.85138440e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,9.95400000e+03,4.00000000e-02,-1.85139010e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,9.95400000e+03,5.00000000e-02,-1.85139934e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,9.95400000e+03,6.00000000e-02,-1.85141430e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,9.95400000e+03,7.00000000e-02,-1.85143855e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,9.95400000e+03,8.00000000e-02,-1.85147783e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,9.95400000e+03,9.00000000e-02,-1.85154146e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,9.95400000e+03,1.00000000e-01,-1.85164455e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.10000000e-01,9.95400000e+03,1.10000000e-01,-1.85181156e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.20000000e-01,9.95400000e+03,1.20000000e-01,-1.85208213e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.30000000e-01,9.95400000e+03,1.30000000e-01,-1.85252045e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.40000000e-01,9.95400000e+03,1.40000000e-01,-1.85323056e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.50000000e-01,9.95400000e+03,1.50000000e-01,-1.85438097e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.60000000e-01,9.95400000e+03,1.60000000e-01,-1.85624466e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.70000000e-01,9.95400000e+03,1.70000000e-01,-1.85926388e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.80000000e-01,9.95400000e+03,1.80000000e-01,-1.86415505e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.90000000e-01,9.95400000e+03,1.90000000e-01,-1.87207873e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-01,9.95400000e+03,2.00000000e-01,-1.88491495e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.10000000e-01,9.95400000e+03,2.10000000e-01,-1.90570908e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.20000000e-01,9.95400000e+03,2.20000000e-01,-1.93939415e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.30000000e-01,9.95400000e+03,2.30000000e-01,-1.99396044e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.40000000e-01,9.95400000e+03,2.40000000e-01,-2.08234967e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.50000000e-01,9.95400000e+03,2.50000000e-01,-2.22552199e-12,3.08338563e-01,4.88902834e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
