vSweep,vd,vg,id,vth0_nom,u0_nom,rdsw_nom,nfactor_nom,vsat_nom,eta0_nom,delta_nom
1.00000000e-02,1.00000000e-02,1.48000000e+00,4.64757505e-05,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
2.00000000e-02,2.00000000e-02,1.48000000e+00,9.24268041e-05,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
3.00000000e-02,3.00000000e-02,1.48000000e+00,1.37850524e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
4.00000000e-02,4.00000000e-02,1.48000000e+00,1.82744257e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
5.00000000e-02,5.00000000e-02,1.48000000e+00,2.27105330e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
6.00000000e-02,6.00000000e-02,1.48000000e+00,2.70931054e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
7.00000000e-02,7.00000000e-02,1.48000000e+00,3.14218723e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
8.00000000e-02,8.00000000e-02,1.48000000e+00,3.56965617e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
9.00000000e-02,9.00000000e-02,1.48000000e+00,3.99169001e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.00000000e-01,1.00000000e-01,1.48000000e+00,4.40826124e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.10000000e-01,1.10000000e-01,1.48000000e+00,4.81934228e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.20000000e-01,1.20000000e-01,1.48000000e+00,5.22490544e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.30000000e-01,1.30000000e-01,1.48000000e+00,5.62492295e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.40000000e-01,1.40000000e-01,1.48000000e+00,6.01936702e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.50000000e-01,1.50000000e-01,1.48000000e+00,6.40820985e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.60000000e-01,1.60000000e-01,1.48000000e+00,6.79142367e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.70000000e-01,1.70000000e-01,1.48000000e+00,7.16898080e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.80000000e-01,1.80000000e-01,1.48000000e+00,7.54085372e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
1.90000000e-01,1.90000000e-01,1.48000000e+00,7.90701508e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
2.00000000e-01,2.00000000e-01,1.48000000e+00,8.26743782e-04,1.38924338e+00,1.90392939e+00,1.01428943e+00,1.86881555e+00,3.11608672e+01,1.42748496e+00,5.33016172e+00
