run_id,vg,vd,id,v_vth0,v_u0,v_rdsw,v_nfactor,v_vsat,v_eta0,v_delta
71,0.0,1.85,-1.85137524e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.01,1.85,-1.85137525e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.02,1.85,-1.8513753e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.03,1.85,-1.85137536e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.04,1.85,-1.85137546e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.05,1.85,-1.85137561e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.06,1.85,-1.85137587e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.07,1.85,-1.85137629e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.08,1.85,-1.85137696e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.09,1.85,-1.85137805e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.1,1.85,-1.85137981e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.11,1.85,-1.85138268e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.12,1.85,-1.85138731e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.13,1.85,-1.85139482e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.14,1.85,-1.85140699e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.15,1.85,-1.8514267e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.16,1.85,-1.85145863e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.17,1.85,-1.85151036e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.18,1.85,-1.85159417e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.19,1.85,-1.85172995e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.2,1.85,-1.85194991e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.21,1.85,-1.85230626e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.22,1.85,-1.85288357e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.23,1.85,-1.85381883e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.24,1.85,-1.85533399e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.25,1.85,-1.85778861e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.26,1.85,-1.86176518e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.27,1.85,-1.86820731e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.28,1.85,-1.87864365e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.29,1.85,-1.89555056e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.3,1.85,-1.9229395e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.31,1.85,-1.96730868e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.32,1.85,-2.03918412e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.33,1.85,-2.15561575e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.34,1.85,-2.34421954e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.35,1.85,-2.64972275e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
71,0.36,1.85,-3.14456102e-12,0.32837257054040253,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
