run_id,vg,vd,id,v_vth0
4,0.0,1.85,-1.85137566e-12,0.3124117712333046
4,0.01,1.85,-1.85137588e-12,0.3124117712333046
4,0.02,1.85,-1.85137641e-12,0.3124117712333046
4,0.03,1.85,-1.85137716e-12,0.3124117712333046
4,0.04,1.85,-1.85137837e-12,0.3124117712333046
4,0.05,1.85,-1.85138034e-12,0.3124117712333046
4,0.06,1.85,-1.85138353e-12,0.3124117712333046
4,0.07,1.85,-1.85138869e-12,0.3124117712333046
4,0.08,1.85,-1.85139705e-12,0.3124117712333046
4,0.09,1.85,-1.8514106e-12,0.3124117712333046
4,0.1,1.85,-1.85143256e-12,0.3124117712333046
4,0.11,1.85,-1.85146812e-12,0.3124117712333046
4,0.12,1.85,-1.85152574e-12,0.3124117712333046
4,0.13,1.85,-1.85161908e-12,0.3124117712333046
4,0.14,1.85,-1.85177031e-12,0.3124117712333046
4,0.15,1.85,-1.8520153e-12,0.3124117712333046
4,0.16,1.85,-1.85241219e-12,0.3124117712333046
4,0.17,1.85,-1.85305517e-12,0.3124117712333046
4,0.18,1.85,-1.85409684e-12,0.3124117712333046
4,0.19,1.85,-1.85578438e-12,0.3124117712333046
4,0.2,1.85,-1.85851826e-12,0.3124117712333046
4,0.21,1.85,-1.86294722e-12,0.3124117712333046
4,0.22,1.85,-1.87012224e-12,0.3124117712333046
4,0.23,1.85,-1.88174584e-12,0.3124117712333046
4,0.24,1.85,-1.90057605e-12,0.3124117712333046
4,0.25,1.85,-1.93108063e-12,0.3124117712333046
4,0.26,1.85,-1.9804968e-12,0.3124117712333046
4,0.27,1.85,-2.06054764e-12,0.3124117712333046
4,0.28,1.85,-2.19022175e-12,0.3124117712333046
4,0.29,1.85,-2.40027472e-12,0.3124117712333046
4,0.3,1.85,-2.74051774e-12,0.3124117712333046
4,0.31,1.85,-3.29161772e-12,0.3124117712333046
4,0.32,1.85,-4.18419763e-12,0.3124117712333046
4,0.33,1.85,-5.62974623e-12,0.3124117712333046
4,0.34,1.85,-7.97062387e-12,0.3124117712333046
4,0.35,1.85,-1.17609312e-11,0.3124117712333046
4,0.36,1.85,-1.78972257e-11,0.3124117712333046
4,0.37,1.85,-2.78296838e-11,0.3124117712333046
4,0.38,1.85,-4.390295e-11,0.3124117712333046
4,0.39,1.85,-6.99057814e-11,0.3124117712333046
4,0.4,1.85,-1.11956281e-10,0.3124117712333046
4,0.41,1.85,-1.79925364e-10,0.3124117712333046
4,0.42,1.85,-2.89721137e-10,0.3124117712333046
4,0.43,1.85,-4.66945647e-10,0.3124117712333046
4,0.44,1.85,-7.52729898e-10,0.3124117712333046
4,0.45,1.85,-1.21300777e-09,0.3124117712333046
4,0.46,1.85,-1.95318251e-09,0.3124117712333046
4,0.47,1.85,-3.14117882e-09,0.3124117712333046
4,0.48,1.85,-5.04340114e-09,0.3124117712333046
4,0.49,1.85,-8.08030716e-09,0.3124117712333046
4,0.5,1.85,-1.29113484e-08,0.3124117712333046
4,0.51,1.85,-2.05631127e-08,0.3124117712333046
4,0.52,1.85,-3.26197818e-08,0.3124117712333046
4,0.53,1.85,-5.15016342e-08,0.3124117712333046
4,0.54,1.85,-8.08655255e-08,0.3124117712333046
4,0.55,1.85,-1.26171726e-07,0.3124117712333046
4,0.56,1.85,-1.95475403e-07,0.3124117712333046
4,0.57,1.85,-3.00519111e-07,0.3124117712333046
4,0.58,1.85,-4.58220066e-07,0.3124117712333046
4,0.59,1.85,-6.92641181e-07,0.3124117712333046
4,0.6,1.85,-1.03745516e-06,0.3124117712333046
4,0.61,1.85,-1.53867702e-06,0.3124117712333046
4,0.62,1.85,-2.25700505e-06,0.3124117712333046
4,0.63,1.85,-3.26858111e-06,0.3124117712333046
4,0.64,1.85,-4.66271291e-06,0.3124117712333046
4,0.65,1.85,-6.53556068e-06,0.3124117712333046
4,0.66,1.85,-8.9801394e-06,0.3124117712333046
4,0.67,1.85,-1.20747063e-05,0.3124117712333046
4,0.68,1.85,-1.58726719e-05,0.3124117712333046
4,0.69,1.85,-2.03968324e-05,0.3124117712333046
4,0.7,1.85,-2.56391315e-05,0.3124117712333046
4,0.71,1.85,-3.15652537e-05,0.3124117712333046
4,0.72,1.85,-3.81220907e-05,0.3124117712333046
4,0.73,1.85,-4.52458893e-05,0.3124117712333046
4,0.74,1.85,-5.2869423e-05,0.3124117712333046
4,0.75,1.85,-6.09273445e-05,0.3124117712333046
4,0.76,1.85,-6.93595776e-05,0.3124117712333046
4,0.77,1.85,-7.81130312e-05,0.3124117712333046
4,0.78,1.85,-8.71420839e-05,0.3124117712333046
4,0.79,1.85,-9.64082852e-05,0.3124117712333046
4,0.8,1.85,-0.000105879627,0.3124117712333046
4,0.81,1.85,-0.000115529644,0.3124117712333046
4,0.82,1.85,-0.00012533649,0.3124117712333046
4,0.83,1.85,-0.000135282095,0.3124117712333046
4,0.84,1.85,-0.000145351424,0.3124117712333046
4,0.85,1.85,-0.000155531865,0.3124117712333046
4,0.86,1.85,-0.000165812726,0.3124117712333046
4,0.87,1.85,-0.000176184839,0.3124117712333046
4,0.88,1.85,-0.000186640248,0.3124117712333046
4,0.89,1.85,-0.000197171967,0.3124117712333046
4,0.9,1.85,-0.000207773793,0.3124117712333046
4,0.91,1.85,-0.000218440166,0.3124117712333046
4,0.92,1.85,-0.000229166055,0.3124117712333046
4,0.93,1.85,-0.000239946876,0.3124117712333046
4,0.94,1.85,-0.00025077843,0.3124117712333046
4,0.95,1.85,-0.000261656848,0.3124117712333046
4,0.96,1.85,-0.000272578552,0.3124117712333046
4,0.97,1.85,-0.000283540223,0.3124117712333046
4,0.98,1.85,-0.000294538776,0.3124117712333046
4,0.99,1.85,-0.000305571344,0.3124117712333046
4,1.0,1.85,-0.00031663525,0.3124117712333046
4,1.01,1.85,-0.000327728001,0.3124117712333046
4,1.02,1.85,-0.000338847266,0.3124117712333046
4,1.03,1.85,-0.00034999087,0.3124117712333046
4,1.04,1.85,-0.000361156779,0.3124117712333046
4,1.05,1.85,-0.000372343093,0.3124117712333046
4,1.06,1.85,-0.000383548036,0.3124117712333046
4,1.07,1.85,-0.000394769945,0.3124117712333046
4,1.08,1.85,-0.000406007268,0.3124117712333046
4,1.09,1.85,-0.000417258549,0.3124117712333046
4,1.1,1.85,-0.000428522429,0.3124117712333046
4,1.11,1.85,-0.000439797634,0.3124117712333046
4,1.12,1.85,-0.000451082974,0.3124117712333046
4,1.13,1.85,-0.000462377332,0.3124117712333046
4,1.14,1.85,-0.000473679663,0.3124117712333046
4,1.15,1.85,-0.000484988989,0.3124117712333046
4,1.16,1.85,-0.000496304393,0.3124117712333046
4,1.17,1.85,-0.000507625015,0.3124117712333046
4,1.18,1.85,-0.00051895005,0.3124117712333046
4,1.19,1.85,-0.000530278742,0.3124117712333046
4,1.2,1.85,-0.000541610382,0.3124117712333046
4,1.21,1.85,-0.000552944306,0.3124117712333046
4,1.22,1.85,-0.000564279891,0.3124117712333046
4,1.23,1.85,-0.000575616551,0.3124117712333046
4,1.24,1.85,-0.000586953737,0.3124117712333046
4,1.25,1.85,-0.000598290932,0.3124117712333046
4,1.26,1.85,-0.000609627653,0.3124117712333046
4,1.27,1.85,-0.000620963444,0.3124117712333046
4,1.28,1.85,-0.000632297879,0.3124117712333046
4,1.29,1.85,-0.000643630555,0.3124117712333046
4,1.3,1.85,-0.000654961096,0.3124117712333046
4,1.31,1.85,-0.000666289147,0.3124117712333046
