run_id,vg,vd,id,v_vth0,v_u0,v_rdsw,v_nfactor,v_vsat,v_eta0,v_delta
0,0.0,1.85,0.0,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.01,1.85,0.01,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.02,1.85,0.02,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.03,1.85,0.03,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.04,1.85,0.04,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.05,1.85,0.05,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.06,1.85,0.06,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.07,1.85,0.07,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.08,1.85,0.08,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.09,1.85,0.09,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.1,1.85,0.1,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.11,1.85,0.11,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.12,1.85,0.12,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.13,1.85,0.13,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.14,1.85,0.14,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.15,1.85,0.15,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.16,1.85,0.16,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.17,1.85,0.17,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.18,1.85,0.18,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.19,1.85,0.19,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.2,1.85,0.2,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.21,1.85,0.21,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.22,1.85,0.22,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.23,1.85,0.23,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.24,1.85,0.24,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.25,1.85,0.25,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.26,1.85,0.26,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.27,1.85,0.27,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.28,1.85,0.28,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.29,1.85,0.29,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.3,1.85,0.3,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.31,1.85,0.31,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.32,1.85,0.32,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.33,1.85,0.33,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.34,1.85,0.34,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.35,1.85,0.35,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.36,1.85,0.36,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.37,1.85,0.37,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.38,1.85,0.38,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.39,1.85,0.39,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.4,1.85,0.4,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.41,1.85,0.41,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.42,1.85,0.42,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.43,1.85,0.43,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.44,1.85,0.44,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.45,1.85,0.45,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.46,1.85,0.46,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.47,1.85,0.47,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.48,1.85,0.48,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.49,1.85,0.49,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.5,1.85,0.5,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.51,1.85,0.51,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.52,1.85,0.52,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,0.53,1.85,0.53,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
