vdrain,idrain,idrain-fit,errors,vbulk,vgate,vsource
-0.67,0.00017551,0.00017391796,0.009070936128995481,0.0,-1.85,0.0
-0.68,0.0001762,0.00017471021,0.008455107832009156,0.0,-1.85,0.0
-0.69,0.00017689,0.00017546403,0.008061337554412313,0.0,-1.85,0.0
-0.7,0.00017789,0.00017618154,0.00960402495924438,0.0,-1.85,0.0
-0.71,0.00017851,0.00017686479,0.009216346423169512,0.0,-1.85,0.0
-0.72,0.00017969,0.00017751572,0.01210017251933895,0.0,-1.85,0.0
-0.73,0.00018007,0.0001781362,0.010739156994502128,0.0,-1.85,0.0
-0.74,0.00018044,0.000178728,0.009487918421636075,0.0,-1.85,0.0
-0.75,0.00018131,0.00017929277,0.011125861783685515,0.0,-1.85,0.0
-0.76,0.00018163,0.00017983212,0.009898585035511775,0.0,-1.85,0.0
-0.77,0.00018375,0.00018034752,0.018516897959183595,0.0,-1.85,0.0
-0.78,0.00018275,0.00018084038,0.010449357045143569,0.0,-1.85,0.0
-0.79,0.00018337,0.00018131202,0.011223100834378642,0.0,-1.85,0.0
-0.8,0.00018375,0.00018176368,0.010809904761904687,0.0,-1.85,0.0
-0.81,0.00018417,0.00018219653,0.010715480262800647,0.0,-1.85,0.0
-0.82,0.00018456,0.00018261165,0.010556729518855655,0.0,-1.85,0.0
-0.83,0.00018531,0.00018301006,0.0124113107765366,0.0,-1.85,0.0
-0.84,0.00018543,0.00018339272,0.01098678746696867,0.0,-1.85,0.0
-0.85,0.00018574,0.00018376052,0.010657262840529749,0.0,-1.85,0.0
-0.86,0.00018612,0.00018411431,0.010776327100795183,0.0,-1.85,0.0
-0.87,0.00018668,0.00018445486,0.01191954146132417,0.0,-1.85,0.0
-0.88,0.00018686,0.00018478292,0.011115701594776943,0.0,-1.85,0.0
-0.89,0.00018736,0.00018509915,0.01206687660119549,0.0,-1.85,0.0
-0.9,0.00018786,0.00018540422,0.01307239433620783,0.0,-1.85,0.0
-0.91,0.00018805,0.00018569872,0.012503483116192418,0.0,-1.85,0.0
-0.92,0.00018849,0.00018598321,0.013299326224202913,0.0,-1.85,0.0
-0.93,0.0001888,0.00018625823,0.013462764830508553,0.0,-1.85,0.0
-0.94,0.00018898,0.00018652426,0.012994708434755002,0.0,-1.85,0.0
-0.95,0.00018898,0.00018678177,0.011632077468515174,0.0,-1.85,0.0
-0.96,0.0001893,0.00018703119,0.0119852614896989,0.0,-1.85,0.0
-0.97,0.00018942,0.00018727294,0.011334917115404968,0.0,-1.85,0.0
-0.98,0.00018998,0.00018750739,0.013015106853352993,0.0,-1.85,0.0
-0.99,0.00019023,0.00018773491,0.013116175156389643,0.0,-1.85,0.0
-1.0,0.00019042,0.00018795583,0.012940710009452827,0.0,-1.85,0.0
-1.01,0.00019017,0.00018817047,0.010514434453383827,0.0,-1.85,0.0
-1.02,0.00019053,0.00018837914,0.011288825906681383,0.0,-1.85,0.0
-1.03,0.00019092,0.00018858211,0.012245390739576695,0.0,-1.85,0.0
-1.04,0.00019079,0.00018877964,0.010537030242675268,0.0,-1.85,0.0
-1.05,0.00019092,0.00018897199,0.01020327886025562,0.0,-1.85,0.0
-1.06,0.00019154,0.0001891594,0.012428735512164573,0.0,-1.85,0.0
-1.07,0.00019304,0.00018934208,0.019156237049316197,0.0,-1.85,0.0
-1.08,0.00019229,0.00018952025,0.014404025170315662,0.0,-1.85,0.0
-1.09,0.0001919,0.0001896941,0.011495049504950523,0.0,-1.85,0.0
-1.1,0.00019223,0.00018986382,0.012309108879987497,0.0,-1.85,0.0
-1.11,0.00019322,0.00019002959,0.01651180002070174,0.0,-1.85,0.0
-1.12,0.00019346,0.00019019157,0.016894603535614595,0.0,-1.85,0.0
-1.13,0.00019272,0.00019034993,0.012297997094230028,0.0,-1.85,0.0
-1.14,0.00019315,0.00019050482,0.013694952109759245,0.0,-1.85,0.0
-1.15,0.00019315,0.00019065637,0.012910328760031106,0.0,-1.85,0.0
-1.16,0.0001931,0.00019080472,0.011886483687208684,0.0,-1.85,0.0
-1.17,0.00019309,0.00019095,0.01108291470298826,0.0,-1.85,0.0
-1.18,0.00019327,0.00019109234,0.011267449681792356,0.0,-1.85,0.0
-1.19,0.00019385,0.00019123184,0.013506112973948959,0.0,-1.85,0.0
-1.2,0.00019334,0.00019136861,0.010196493224371498,0.0,-1.85,0.0
-1.21,0.00019354,0.00019150277,0.010526144466260118,0.0,-1.85,0.0
-1.22,0.00019391,0.00019163441,0.011735289567324987,0.0,-1.85,0.0
-1.23,0.00019366,0.00019176362,0.009792316430858254,0.0,-1.85,0.0
-1.24,0.00019391,0.0001918905,0.010414625341653362,0.0,-1.85,0.0
-1.25,0.0001941,0.00019201513,0.010741215868109269,0.0,-1.85,0.0
-1.26,0.00019397,0.00019213759,0.009446873227818703,0.0,-1.85,0.0
-1.27,0.00019458,0.00019225796,0.011933600575598719,0.0,-1.85,0.0
-1.28,0.00019466,0.00019237631,0.01173168601664447,0.0,-1.85,0.0
-1.29,0.00019466,0.00019249272,0.01113366896126587,0.0,-1.85,0.0
-1.3,0.00019502,0.00019260725,0.012371808019690365,0.0,-1.85,0.0
-1.31,0.00019503,0.00019271996,0.011844536737937748,0.0,-1.85,0.0
-1.32,0.00019534,0.00019283093,0.012844629876113463,0.0,-1.85,0.0
-1.33,0.00019547,0.00019294021,0.012942088299994832,0.0,-1.85,0.0
-1.34,0.00019514,0.00019304785,0.010721277031874568,0.0,-1.85,0.0
-1.35,0.00019503,0.0001931539,0.009619545710916272,0.0,-1.85,0.0
-1.36,0.00019516,0.00019325843,0.009743646238983434,0.0,-1.85,0.0
-1.37,0.00019522,0.00019336148,0.009520131134105063,0.0,-1.85,0.0
-1.38,0.00019547,0.0001934631,0.010267048651966999,0.0,-1.85,0.0
-1.39,0.00019553,0.00019356332,0.010058200787602898,0.0,-1.85,0.0
-1.4,0.00019578,0.00019366221,0.010817192767392013,0.0,-1.85,0.0
-1.41,0.00019584,0.00019375979,0.01062198733660135,0.0,-1.85,0.0
-1.42,0.00019553,0.00019385612,0.008560732368434527,0.0,-1.85,0.0
-1.43,0.00019584,0.00019395122,0.009644505718954213,0.0,-1.85,0.0
-1.44,0.00019578,0.00019404513,0.008861323935029117,0.0,-1.85,0.0
-1.45,0.00019596,0.0001941379,0.00929832618901812,0.0,-1.85,0.0
-1.46,0.0001964,0.00019422955,0.011051171079429763,0.0,-1.85,0.0
-1.47,0.00019615,0.00019432011,0.009329033902625577,0.0,-1.85,0.0
-1.48,0.00019647,0.00019440963,0.01048694457169035,0.0,-1.85,0.0
-1.49,0.00019634,0.00019449812,0.009381073647753993,0.0,-1.85,0.0
-1.5,0.00019647,0.00019458562,0.009591184404743642,0.0,-1.85,0.0
-1.51,0.00019659,0.00019467216,0.009755531817488276,0.0,-1.85,0.0
-1.52,0.00019658,0.00019475777,0.009269661206633362,0.0,-1.85,0.0
-1.53,0.00019672,0.00019484246,0.009544225294835262,0.0,-1.85,0.0
-1.54,0.00019672,0.00019492627,0.00911818828792191,0.0,-1.85,0.0
-1.55,0.00019696,0.00019500922,0.009904447603574434,0.0,-1.85,0.0
-1.56,0.0001969,0.00019509133,0.009185728796343252,0.0,-1.85,0.0
-1.57,0.00019709,0.00019517263,0.00972839819371861,0.0,-1.85,0.0
-1.58,0.00019665,0.00019525313,0.0071033307907450716,0.0,-1.85,0.0
-1.59,0.00019765,0.00019533287,0.011723399949405484,0.0,-1.85,0.0
-1.6,0.0001964,0.00019541185,0.005031313645621155,0.0,-1.85,0.0
-1.61,0.0001969,0.0001954901,0.007160487557135576,0.0,-1.85,0.0
-1.62,0.00019758,0.00019556764,0.010185038971555784,0.0,-1.85,0.0
-1.63,0.00019728,0.00019564448,0.008290348742903502,0.0,-1.85,0.0
-1.64,0.00019721,0.00019572065,0.007552101820394416,0.0,-1.85,0.0
-1.65,0.00019696,0.00019579615,0.00590906783103172,0.0,-1.85,0.0
-1.66,0.00019753,0.00019587102,0.008398622993975553,0.0,-1.85,0.0
-1.67,0.00019728,0.00019594526,0.006765713706407113,0.0,-1.85,0.0
-1.68,0.00019771,0.00019601888,0.008553538010216931,0.0,-1.85,0.0
-1.69,0.00019753,0.00019609191,0.007280362476585707,0.0,-1.85,0.0
-1.7,0.00019684,0.00019616436,0.003432432432432399,0.0,-1.85,0.0
-1.71,0.00019796,0.00019623624,0.008707617700545543,0.0,-1.85,0.0
-1.72,0.00019771,0.00019630756,0.007093419655050402,0.0,-1.85,0.0
-1.73,0.00019759,0.00019637834,0.006132192924743178,0.0,-1.85,0.0
-1.74,0.00019802,0.0001964486,0.007935562064438021,0.0,-1.85,0.0
-1.75,0.00019821,0.00019651834,0.008534685434640029,0.0,-1.85,0.0
-1.76,0.00019778,0.00019658757,0.006029072707048241,0.0,-1.85,0.0
-1.77,0.00019815,0.00019665631,0.007538178147867717,0.0,-1.85,0.0
-1.78,0.00019821,0.00019672457,0.007494223298521667,0.0,-1.85,0.0
-1.79,0.00019784,0.00019679236,0.005295390214314578,0.0,-1.85,0.0
-1.8,0.0001999,0.00019685969,0.015209154577288674,0.0,-1.85,0.0
-1.81,0.00019796,0.00019692657,0.005220398060214277,0.0,-1.85,0.0
-1.82,0.00019728,0.00019699302,0.0014546836982969283,0.0,-1.85,0.0
-1.83,0.00019846,0.00019705903,0.007059205885316976,0.0,-1.85,0.0
-1.84,0.00019815,0.00019712462,0.005174766590966357,0.0,-1.85,0.0
-1.85,0.0001984,0.0001971898,0.0060997983870968294,0.0,-1.85,0.0
