vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource
-1.2,2.478e-07,5.6953462e-07,1.2983640839386605,0.0,-0.01,0.0
-1.21,3.528e-07,6.4216302e-07,0.8201899659863946,0.0,-0.01,0.0
-1.22,3.944e-07,7.2056188e-07,0.8269824543610549,0.0,-0.01,0.0
-1.23,4.161e-07,8.0444723e-07,0.9333026435952897,0.0,-0.01,0.0
-1.24,4.36e-07,8.9340236e-07,1.049087981651376,0.0,-0.01,0.0
-1.25,5.423e-07,9.8688721e-07,0.8198178314586023,0.0,-0.01,0.0
-1.26,5.442e-07,1.0842547e-06,0.9923827636898197,0.0,-0.01,0.0
-1.27,6.882e-07,1.1847733e-06,0.7215537634408601,0.0,-0.01,0.0
-1.28,6.965e-07,1.287653e-06,0.8487480258435031,0.0,-0.01,0.0
-1.29,6.568e-07,1.3920747e-06,1.1194803593179048,0.0,-0.01,0.0
-1.3,8.975e-07,1.497218e-06,0.668209470752089,0.0,-0.01,0.0
-1.31,7.08e-07,1.6022878e-06,1.2631183615819208,0.0,-0.01,0.0
-1.32,8.604e-07,1.7065375e-06,0.9834234077173408,0.0,-0.01,0.0
-1.33,8.476e-07,1.8092864e-06,1.1345993393109954,0.0,-0.01,0.0
-1.34,8.63e-07,1.9099335e-06,1.2131326767091541,0.0,-0.01,0.0
-1.35,8.047e-07,2.0079647e-06,1.4952960109357523,0.0,-0.01,0.0
-1.36,1.0409e-06,2.1029561e-06,1.0203248150638868,0.0,-0.01,0.0
-1.37,9.186e-07,2.194573e-06,1.3890409318528196,0.0,-0.01,0.0
-1.38,1.1094e-06,2.2825656e-06,1.0574775554353708,0.0,-0.01,0.0
-1.39,1.2413e-06,2.3667624e-06,0.9066804156932247,0.0,-0.01,0.0
-1.4,1.1209e-06,2.4470623e-06,1.1831227584976358,0.0,-0.01,0.0
-1.41,1.2989e-06,2.5234254e-06,0.9427403187312342,0.0,-0.01,0.0
-1.42,1.2387e-06,2.5958638e-06,1.0956355856946798,0.0,-0.01,0.0
-1.43,1.249e-06,2.664433e-06,1.1332530024019216,0.0,-0.01,0.0
-1.44,1.0723e-06,2.729223e-06,1.5452047001771891,0.0,-0.01,0.0
-1.45,1.48e-06,2.7903511e-06,0.8853723648648649,0.0,-0.01,0.0
-1.46,1.5415e-06,2.8479548e-06,0.8475217645150828,0.0,-0.01,0.0
-1.47,1.2547e-06,2.9021858e-06,1.313051566111421,0.0,-0.01,0.0
-1.48,1.4282e-06,2.9532056e-06,1.0677815432012323,0.0,-0.01,0.0
-1.49,1.6932e-06,3.0011805e-06,0.7724902551382,0.0,-0.01,0.0
-1.5,1.4212e-06,3.0462787e-06,1.1434553194483537,0.0,-0.01,0.0
-1.51,1.3904e-06,3.0886676e-06,1.2214237629459148,0.0,-0.01,0.0
-1.52,1.6702e-06,3.1285114e-06,0.8731357921207042,0.0,-0.01,0.0
-1.53,1.7969e-06,3.1659697e-06,0.7619064499972176,0.0,-0.01,0.0
-1.54,1.5588e-06,3.2011962e-06,1.0536285604311009,0.0,-0.01,0.0
-1.55,1.8366e-06,3.2343379e-06,0.7610464445170424,0.0,-0.01,0.0
-1.56,1.9601e-06,3.2655347e-06,0.6660041324422222,0.0,-0.01,0.0
-1.57,1.8622e-06,3.2949189e-06,0.769368972183439,0.0,-0.01,0.0
-1.58,1.496e-06,3.3226151e-06,1.220999398395722,0.0,-0.01,0.0
-1.59,1.6286e-06,3.3487405e-06,1.0562080928404767,0.0,-0.01,0.0
-1.6,1.8833e-06,3.3734045e-06,0.7912199330961609,0.0,-0.01,0.0
-1.61,1.779e-06,3.3967096e-06,0.9093364811691962,0.0,-0.01,0.0
-1.62,1.836e-06,3.4187512e-06,0.8620649237472767,0.0,-0.01,0.0
-1.63,1.7931e-06,3.4396179e-06,0.9182521331771792,0.0,-0.01,0.0
-1.64,1.6977e-06,3.4593922e-06,1.0376934676326794,0.0,-0.01,0.0
-1.65,1.9941e-06,3.4781506e-06,0.7442207512160873,0.0,-0.01,0.0
-1.66,2.1503e-06,3.4959638e-06,0.6258028182114124,0.0,-0.01,0.0
-1.67,2.0005e-06,3.5128976e-06,0.7560097975506123,0.0,-0.01,0.0
-1.68,2.2168e-06,3.5290126e-06,0.5919400036088054,0.0,-0.01,0.0
-1.69,2.3621e-06,3.5443651e-06,0.5005144151390712,0.0,-0.01,0.0
-1.7,1.9461e-06,3.5590069e-06,0.8287893222342122,0.0,-0.01,0.0
-1.71,1.9473e-06,3.5729861e-06,0.8348411133364145,0.0,-0.01,0.0
-1.72,2.3551e-06,3.5863471e-06,0.5228003481805443,0.0,-0.01,0.0
-1.73,1.9134e-06,3.5991308e-06,0.8810132747987872,0.0,-0.01,0.0
-1.74,2.0165e-06,3.6113752e-06,0.7909125712868832,0.0,-0.01,0.0
-1.75,1.8212e-06,3.6231152e-06,0.9894109378431803,0.0,-0.01,0.0
-1.76,2.0178e-06,3.6343834e-06,0.8011613638616314,0.0,-0.01,0.0
-1.77,1.754e-06,3.6452096e-06,1.0782266818700112,0.0,-0.01,0.0
-1.78,2.1471e-06,3.6556216e-06,0.7025856271249592,0.0,-0.01,0.0
-1.79,2.4735e-06,3.665645e-06,0.481966848595108,0.0,-0.01,0.0
-1.8,2.0261e-06,3.6753034e-06,0.8139792705197176,0.0,-0.01,0.0
-1.81,2.2149e-06,3.684619e-06,0.6635599801345433,0.0,-0.01,0.0
-1.82,1.9134e-06,3.6936121e-06,0.9303920246681299,0.0,-0.01,0.0
-1.83,2.1483e-06,3.7023015e-06,0.7233633570730347,0.0,-0.01,0.0
-1.84,2.3321e-06,3.7107047e-06,0.5911430470391492,0.0,-0.01,0.0
-1.85,2.1797e-06,3.718838e-06,0.7061237785016287,0.0,-0.01,0.0
