 0.00000000e+00  0.00000000e+00  1.48000000e+00 -6.70987899e-20  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.00000000e-02  1.00000000e-02  1.48000000e+00  4.17614030e-05  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 2.00000000e-02  2.00000000e-02  1.48000000e+00  8.30629618e-05  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 3.00000000e-02  3.00000000e-02  1.48000000e+00  1.23902918e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 4.00000000e-02  4.00000000e-02  1.48000000e+00  1.64279507e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 5.00000000e-02  5.00000000e-02  1.48000000e+00  2.04190953e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 6.00000000e-02  6.00000000e-02  1.48000000e+00  2.43635477e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 7.00000000e-02  7.00000000e-02  1.48000000e+00  2.82611293e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 8.00000000e-02  8.00000000e-02  1.48000000e+00  3.21116609e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 9.00000000e-02  9.00000000e-02  1.48000000e+00  3.59149626e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.00000000e-01  1.00000000e-01  1.48000000e+00  3.96708547e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.10000000e-01  1.10000000e-01  1.48000000e+00  4.33791568e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.20000000e-01  1.20000000e-01  1.48000000e+00  4.70396886e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.30000000e-01  1.30000000e-01  1.48000000e+00  5.06522698e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.40000000e-01  1.40000000e-01  1.48000000e+00  5.42167206e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.50000000e-01  1.50000000e-01  1.48000000e+00  5.77328614e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.60000000e-01  1.60000000e-01  1.48000000e+00  6.12005135e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.70000000e-01  1.70000000e-01  1.48000000e+00  6.46194993e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.80000000e-01  1.80000000e-01  1.48000000e+00  6.79896425e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 1.90000000e-01  1.90000000e-01  1.48000000e+00  7.13107685e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 2.00000000e-01  2.00000000e-01  1.48000000e+00  7.45827047e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
 2.10000000e-01  2.10000000e-01  1.48000000e+00  7.78052816e-04  1.27177674e+00  1.66467583e+00  1.02886755e+00  1.84500082e+00  3.10359853e+01  1.45260762e+00  5.46649412e+00 
