 0.00000000e+00  0.00000000e+00  1.48000000e+00 -4.12207741e-20  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 1.00000000e-02  1.00000000e-02  1.48000000e+00  4.86735408e-05  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 2.00000000e-02  2.00000000e-02  1.48000000e+00  9.68242314e-05  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 3.00000000e-02  3.00000000e-02  1.48000000e+00  1.44449907e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 4.00000000e-02  4.00000000e-02  1.48000000e+00  1.91548388e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 5.00000000e-02  5.00000000e-02  1.48000000e+00  2.38117478e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 6.00000000e-02  6.00000000e-02  1.48000000e+00  2.84154969e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 7.00000000e-02  7.00000000e-02  1.48000000e+00  3.29658634e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 8.00000000e-02  8.00000000e-02  1.48000000e+00  3.74626235e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 9.00000000e-02  9.00000000e-02  1.48000000e+00  4.19055520e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 1.00000000e-01  1.00000000e-01  1.48000000e+00  4.62944223e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 1.10000000e-01  1.10000000e-01  1.48000000e+00  5.06290067e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
 1.20000000e-01  1.20000000e-01  1.48000000e+00  5.49090763e-04  1.32133823e+00  1.87520849e+00  9.29904693e-01  1.84922529e+00  3.52944569e+01  1.33654453e+00  4.99317479e+00 
