vSweep,vd,vg,id,vth0_nom,u0_nom,rdsw_nom,nfactor_nom,vsat_nom,eta0_nom,delta_nom
1.00000000e-02,1.00000000e-02,1.48000000e+00,5.06330897e-05,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
2.00000000e-02,2.00000000e-02,1.48000000e+00,1.00743671e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
3.00000000e-02,3.00000000e-02,1.48000000e+00,1.50329829e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
4.00000000e-02,4.00000000e-02,1.48000000e+00,1.99389630e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
5.00000000e-02,5.00000000e-02,1.48000000e+00,2.47921125e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
6.00000000e-02,6.00000000e-02,1.48000000e+00,2.95922349e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
7.00000000e-02,7.00000000e-02,1.48000000e+00,3.43391322e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
8.00000000e-02,8.00000000e-02,1.48000000e+00,3.90326044e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
9.00000000e-02,9.00000000e-02,1.48000000e+00,4.36724503e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.00000000e-01,1.00000000e-01,1.48000000e+00,4.82584668e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.10000000e-01,1.10000000e-01,1.48000000e+00,5.27904494e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.20000000e-01,1.20000000e-01,1.48000000e+00,5.72681922e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.30000000e-01,1.30000000e-01,1.48000000e+00,6.16914877e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.40000000e-01,1.40000000e-01,1.48000000e+00,6.60601273e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.50000000e-01,1.50000000e-01,1.48000000e+00,7.03739010e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.60000000e-01,1.60000000e-01,1.48000000e+00,7.46325981e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.70000000e-01,1.70000000e-01,1.48000000e+00,7.88360066e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
1.80000000e-01,1.80000000e-01,1.48000000e+00,8.29839144e-04,1.19960694e+00,1.84448619e+00,8.82745202e-01,1.63813758e+00,3.26114503e+01,1.27871671e+00,5.12920998e+00
