 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
-1.00000000e-02 -8.58947646e-14 -1.00000000e-02 -1.00000000e-02 
-2.00000000e-02 -1.61355681e-13 -2.00000000e-02 -2.00000000e-02 
-3.00000000e-02 -2.35869683e-13 -3.00000000e-02 -3.00000000e-02 
-4.00000000e-02 -3.07405335e-13 -4.00000000e-02 -4.00000000e-02 
-5.00000000e-02 -3.76561646e-13 -5.00000000e-02 -5.00000000e-02 
-6.00000000e-02 -4.43797263e-13 -6.00000000e-02 -6.00000000e-02 
-7.00000000e-02 -5.09466223e-13 -7.00000000e-02 -7.00000000e-02 
-8.00000000e-02 -5.73844414e-13 -8.00000000e-02 -8.00000000e-02 
-9.00000000e-02 -6.37148972e-13 -9.00000000e-02 -9.00000000e-02 
-1.00000000e-01 -6.99552507e-13 -1.00000000e-01 -1.00000000e-01 
-1.10000000e-01 -7.61193571e-13 -1.10000000e-01 -1.10000000e-01 
-1.20000000e-01 -8.22184414e-13 -1.20000000e-01 -1.20000000e-01 
-1.30000000e-01 -8.82616782e-13 -1.30000000e-01 -1.30000000e-01 
-1.40000000e-01 -9.42566292e-13 -1.40000000e-01 -1.40000000e-01 
-1.50000000e-01 -1.00209575e-12 -1.50000000e-01 -1.50000000e-01 
-1.60000000e-01 -1.06125770e-12 -1.60000000e-01 -1.60000000e-01 
-1.70000000e-01 -1.12009643e-12 -1.70000000e-01 -1.70000000e-01 
-1.80000000e-01 -1.17864947e-12 -1.80000000e-01 -1.80000000e-01 
-1.90000000e-01 -1.23694883e-12 -1.90000000e-01 -1.90000000e-01 
-2.00000000e-01 -1.29502199e-12 -2.00000000e-01 -2.00000000e-01 
-2.10000000e-01 -1.35289262e-12 -2.10000000e-01 -2.10000000e-01 
-2.20000000e-01 -1.41058126e-12 -2.20000000e-01 -2.20000000e-01 
-2.30000000e-01 -1.46810577e-12 -2.30000000e-01 -2.30000000e-01 
-2.40000000e-01 -1.52548180e-12 -2.40000000e-01 -2.40000000e-01 
-2.50000000e-01 -1.58272305e-12 -2.50000000e-01 -2.50000000e-01 
-2.60000000e-01 -1.63984163e-12 -2.60000000e-01 -2.60000000e-01 
-2.70000000e-01 -1.69684824e-12 -2.70000000e-01 -2.70000000e-01 
-2.80000000e-01 -1.75375240e-12 -2.80000000e-01 -2.80000000e-01 
-2.90000000e-01 -1.81056256e-12 -2.90000000e-01 -2.90000000e-01 
-3.00000000e-01 -1.86728630e-12 -3.00000000e-01 -3.00000000e-01 
-3.10000000e-01 -1.92393039e-12 -3.10000000e-01 -3.10000000e-01 
-3.20000000e-01 -1.98050094e-12 -3.20000000e-01 -3.20000000e-01 
-3.30000000e-01 -2.03700343e-12 -3.30000000e-01 -3.30000000e-01 
-3.40000000e-01 -2.09344284e-12 -3.40000000e-01 -3.40000000e-01 
-3.50000000e-01 -2.14982366e-12 -3.50000000e-01 -3.50000000e-01 
-3.60000000e-01 -2.20614998e-12 -3.60000000e-01 -3.60000000e-01 
-3.70000000e-01 -2.26242550e-12 -3.70000000e-01 -3.70000000e-01 
-3.80000000e-01 -2.31865361e-12 -3.80000000e-01 -3.80000000e-01 
-3.90000000e-01 -2.37483742e-12 -3.90000000e-01 -3.90000000e-01 
-4.00000000e-01 -2.43097975e-12 -4.00000000e-01 -4.00000000e-01 
-4.10000000e-01 -2.48708320e-12 -4.10000000e-01 -4.10000000e-01 
-4.20000000e-01 -2.54315017e-12 -4.20000000e-01 -4.20000000e-01 
-4.30000000e-01 -2.59918284e-12 -4.30000000e-01 -4.30000000e-01 
-4.40000000e-01 -2.65518325e-12 -4.40000000e-01 -4.40000000e-01 
-4.50000000e-01 -2.71115326e-12 -4.50000000e-01 -4.50000000e-01 
-4.60000000e-01 -2.76709462e-12 -4.60000000e-01 -4.60000000e-01 
-4.70000000e-01 -2.82300891e-12 -4.70000000e-01 -4.70000000e-01 
-4.80000000e-01 -2.87889763e-12 -4.80000000e-01 -4.80000000e-01 
-4.90000000e-01 -2.93476216e-12 -4.90000000e-01 -4.90000000e-01 
-5.00000000e-01 -2.99060378e-12 -5.00000000e-01 -5.00000000e-01 
-5.10000000e-01 -3.04642369e-12 -5.10000000e-01 -5.10000000e-01 
-5.20000000e-01 -3.10222300e-12 -5.20000000e-01 -5.20000000e-01 
-5.30000000e-01 -3.15800276e-12 -5.30000000e-01 -5.30000000e-01 
-5.40000000e-01 -3.21376393e-12 -5.40000000e-01 -5.40000000e-01 
-5.50000000e-01 -3.26950744e-12 -5.50000000e-01 -5.50000000e-01 
-5.60000000e-01 -3.32523412e-12 -5.60000000e-01 -5.60000000e-01 
-5.70000000e-01 -3.38094478e-12 -5.70000000e-01 -5.70000000e-01 
-5.80000000e-01 -3.43664017e-12 -5.80000000e-01 -5.80000000e-01 
-5.90000000e-01 -3.49232099e-12 -5.90000000e-01 -5.90000000e-01 
-6.00000000e-01 -3.54798791e-12 -6.00000000e-01 -6.00000000e-01 
-6.10000000e-01 -3.60364154e-12 -6.10000000e-01 -6.10000000e-01 
-6.20000000e-01 -3.65928249e-12 -6.20000000e-01 -6.20000000e-01 
-6.30000000e-01 -3.71491129e-12 -6.30000000e-01 -6.30000000e-01 
-6.40000000e-01 -3.77052848e-12 -6.40000000e-01 -6.40000000e-01 
-6.50000000e-01 -3.82613455e-12 -6.50000000e-01 -6.50000000e-01 
-6.60000000e-01 -3.88172996e-12 -6.60000000e-01 -6.60000000e-01 
-6.70000000e-01 -3.93731515e-12 -6.70000000e-01 -6.70000000e-01 
-6.80000000e-01 -3.99289054e-12 -6.80000000e-01 -6.80000000e-01 
-6.90000000e-01 -4.04845654e-12 -6.90000000e-01 -6.90000000e-01 
-7.00000000e-01 -4.10401351e-12 -7.00000000e-01 -7.00000000e-01 
-7.10000000e-01 -4.15956181e-12 -7.10000000e-01 -7.10000000e-01 
-7.20000000e-01 -4.21510177e-12 -7.20000000e-01 -7.20000000e-01 
-7.30000000e-01 -4.27063373e-12 -7.30000000e-01 -7.30000000e-01 
-7.40000000e-01 -4.32615798e-12 -7.40000000e-01 -7.40000000e-01 
-7.50000000e-01 -4.38167481e-12 -7.50000000e-01 -7.50000000e-01 
-7.60000000e-01 -4.43718450e-12 -7.60000000e-01 -7.60000000e-01 
-7.70000000e-01 -4.49268732e-12 -7.70000000e-01 -7.70000000e-01 
-7.80000000e-01 -4.54818351e-12 -7.80000000e-01 -7.80000000e-01 
-7.90000000e-01 -4.60367331e-12 -7.90000000e-01 -7.90000000e-01 
-8.00000000e-01 -4.65915695e-12 -8.00000000e-01 -8.00000000e-01 
-8.10000000e-01 -4.71463466e-12 -8.10000000e-01 -8.10000000e-01 
-8.20000000e-01 -4.77010663e-12 -8.20000000e-01 -8.20000000e-01 
-8.30000000e-01 -4.82557306e-12 -8.30000000e-01 -8.30000000e-01 
-8.40000000e-01 -4.88103415e-12 -8.40000000e-01 -8.40000000e-01 
-8.50000000e-01 -4.93649007e-12 -8.50000000e-01 -8.50000000e-01 
-8.60000000e-01 -4.99194101e-12 -8.60000000e-01 -8.60000000e-01 
-8.70000000e-01 -5.04738712e-12 -8.70000000e-01 -8.70000000e-01 
-8.80000000e-01 -5.10282857e-12 -8.80000000e-01 -8.80000000e-01 
-8.90000000e-01 -5.15826550e-12 -8.90000000e-01 -8.90000000e-01 
-9.00000000e-01 -5.21369807e-12 -9.00000000e-01 -9.00000000e-01 
-9.10000000e-01 -5.26912642e-12 -9.10000000e-01 -9.10000000e-01 
-9.20000000e-01 -5.32455067e-12 -9.20000000e-01 -9.20000000e-01 
-9.30000000e-01 -5.37997097e-12 -9.30000000e-01 -9.30000000e-01 
-9.40000000e-01 -5.43538742e-12 -9.40000000e-01 -9.40000000e-01 
-9.50000000e-01 -5.49080016e-12 -9.50000000e-01 -9.50000000e-01 
-9.60000000e-01 -5.54620930e-12 -9.60000000e-01 -9.60000000e-01 
-9.70000000e-01 -5.60161494e-12 -9.70000000e-01 -9.70000000e-01 
-9.80000000e-01 -5.65701720e-12 -9.80000000e-01 -9.80000000e-01 
-9.90000000e-01 -5.71241617e-12 -9.90000000e-01 -9.90000000e-01 
-1.00000000e+00 -5.76781196e-12 -1.00000000e+00 -1.00000000e+00 
-1.01000000e+00 -5.82320465e-12 -1.01000000e+00 -1.01000000e+00 
-1.02000000e+00 -5.87859434e-12 -1.02000000e+00 -1.02000000e+00 
-1.03000000e+00 -5.93398112e-12 -1.03000000e+00 -1.03000000e+00 
-1.04000000e+00 -5.98936507e-12 -1.04000000e+00 -1.04000000e+00 
-1.05000000e+00 -6.04474627e-12 -1.05000000e+00 -1.05000000e+00 
-1.06000000e+00 -6.10012481e-12 -1.06000000e+00 -1.06000000e+00 
-1.07000000e+00 -6.15550075e-12 -1.07000000e+00 -1.07000000e+00 
